end_year,adm_1,best
2017,Turkana county,6
2017,Mandera county,4
2017,Mandera county,3
2017,,2
2017,Elgeyo Marakwet county,1
2017,Lamu county,6
2017,Lamu county,4
2017,Lamu county,5
2017,Lamu county,7
2017,Garissa county,0
2017,Lamu county,2
2017,Elgeyo Marakwet county,1
2017,Lamu county,3
2017,Mandera county,3
2018,Lamu county,1
2017,Garissa county,0
2017,Nairobi city county,2
2017,Nairobi city county,1
2017,Nairobi city county,3
2017,Nairobi city county,1
2017,Siaya county,2
2017,Nairobi city county,1
2017,Nairobi city county,1
2017,Kisumu county,2
2017,Kisumu county,1
2017,Siaya county,1
2017,Nairobi city county,2
2017,Nairobi city county,1
2017,Kisumu county,2
2017,Siaya county,1
2017,Nairobi city county,1
2017,Nairobi city county,1
2017,Garissa county,5
2017,Lamu county,4
2017,Mombasa county,1
2017,Garissa county,0
2017,Mandera county,2
2017,Laikipia county,1
2017,Lamu county,3
2017,Kwale county,2
2017,Lamu county,1
2017,Elgeyo Marakwet county,1
2017,Lamu county,5
2017,Nairobi city county,1
2017,Turkana county,7
2017,Turkana county,0
2017,Kisumu county,1
2017,Kisumu county,1
2017,Kisumu county,1
2017,Kisumu county,1
2017,Homa Bay county,1
2017,Nairobi city county,1
2017,Kisumu county,1
2017,Migori county,1
2017,,0
2017,Turkana county,1
2017,Nairobi city county,1
2017,Lamu county,2
2017,Baringo county,6
2017,Nairobi city county,1
2017,Nairobi city county,1
2017,Nairobi city county,1
2017,Nairobi city county,1
2017,Nairobi city county,1
2017,Migori county,1
2017,Lamu county,2
2017,Lamu county,2
2017,Nairobi city county,1
2017,Bungoma county,5
2017,,1
2017,Garissa county,5
2018,Mandera county,5
2018,Elgeyo Marakwet county,5
2018,,1
2018,Lamu county,2
2018,Baringo county,1
2018,Mandera county,2
2018,Elgeyo Marakwet county,1
2018,Elgeyo Marakwet county,1
2018,Baringo county,3
2018,Elgeyo Marakwet county,1
2018,Turkana county,3
2018,Garissa county,2
2018,Elgeyo Marakwet county,1
2018,Elgeyo Marakwet county,2
2018,Mandera county,3
2018,Garissa county,3
2018,Mandera county,2
2018,Isiolo county,1
2018,Wajir county,4
2018,Meru county,1
2018,Mandera county,6
2018,Mandera county,5
2018,Mandera county,1
2018,Baringo county,3
2018,Mandera county,4
2018,Baringo county,4
2018,Kisumu county,1
2018,Nairobi city county,1
2018,Marsabit county,3
2018,Garissa county,5
2018,Wajir county,8
2018,Kericho county,3
2018,Kilifi county,1
2018,Garissa county,0
2018,Garissa county,0
2018,,2
2018,Lamu county,0
2018,Elgeyo Marakwet county,1
2018,Lamu county,5
2018,Mandera county,3
2018,Lamu county,5
2018,Lamu county,5
2018,Marsabit county,1
2018,Marsabit county,1
2018,Marsabit county,3
2018,Mandera county,0
2018,Garissa county,2
2018,Lamu county,10
2018,Kiambu county,1
2018,Mandera county,0
2018,Baringo county,2
2018,Mandera county,1
2018,Turkana county,2
2018,West Pokot county,1
2018,Turkana county,0
2018,Nairobi city county,1
2018,Mandera county,0
2018,Bungoma county,1
